"","X","Date","AveragePrice","Total.Volume","X4046","X4225","X4770","Total.Bags","Small.Bags","Large.Bags","XLarge.Bags","type","year","region"
"9562",19,"2015-08-16",1.62,29458.3,1142.46,27912.51,0,403.33,403.33,0,0,"organic",2015,"Chicago"
"6121",27,"2017-06-25",0.8,337211.8,4289.76,100910.25,1020.95,230990.84,28717.58,201500.92,772.34,"conventional",2017,"CincinnatiDayton"
"17654",4,"2018-02-25",1.79,31567.3,34.89,2390.82,0,29141.59,25069.34,4072.25,0,"organic",2018,"Boston"
"346",33,"2015-05-10",0.93,6650357.96,4085858.78,1735132.32,194575.97,634790.89,613601.09,18366.27,2823.53,"conventional",2015,"California"
"9268",37,"2015-04-12",1.66,15999.82,7671.04,3634.16,864.43,3830.19,3822.27,7.92,0,"organic",2015,"BaltimoreWashington"
"4813",28,"2016-06-12",0.96,280191.2,83555.77,108482.44,15693.42,72459.57,69331.2,158.37,2970,"conventional",2016,"RichmondNorfolk"
"4818",33,"2016-05-08",0.9,334121.64,89111.96,158033.71,6247.53,80728.44,78934.29,1724.92,69.23,"conventional",2016,"RichmondNorfolk"
"13610",12,"2016-10-02",2.23,6865.93,854.63,2658.82,0,3352.48,3228.07,124.41,0,"organic",2016,"Philadelphia"
"4227",14,"2016-09-18",1.18,244913.97,126047.18,32908.26,447.79,85510.74,58161.71,16384.03,10965,"conventional",2016,"NewOrleansMobile"
"9143",16,"2015-09-06",1.86,1168.86,30.13,96.18,0,1042.55,1042.55,0,0,"organic",2015,"Albany"
"831",50,"2015-01-11",1.1,3067638.32,416900.3,1818618.04,316856.73,515263.25,412976.97,91214.54,11071.74,"conventional",2015,"GreatLakes"
"9812",9,"2015-10-25",1.8,7895.81,1520.03,5456.64,0,919.14,383.33,535.81,0,"organic",2015,"Detroit"
"2265",28,"2015-06-14",1.18,615500.43,207290.74,274970.73,13480.42,119758.54,119723.88,17.89,16.77,"conventional",2015,"Seattle"
"8318",51,"2017-01-08",1.27,351707.78,131948.41,75346.27,100.07,144313.03,80554.92,63758.11,0,"conventional",2017,"Tampa"
"8822",7,"2018-02-04",1.28,2959541.38,96084.63,2250967.25,3253.28,609236.22,569361.35,38734.78,1140.09,"conventional",2018,"NewYork"
"6765",35,"2017-04-30",0.95,359011.13,113104.9,65026.2,6704.04,174175.99,43597.71,130578.28,0,"conventional",2017,"LasVegas"
"5607",42,"2016-03-06",0.77,814614.77,548260.5,108856.08,38919.31,118578.88,89574.12,29004.76,0,"conventional",2016,"WestTexNewMexico"
"11334",23,"2015-07-19",2.36,19558.81,3893.65,15665.16,0,0,0,0,0,"organic",2015,"SanFrancisco"
"18051",5,"2018-02-18",1.99,14240.92,140.37,5695.17,122.61,8282.77,8197.97,84.8,0,"organic",2018,"RaleighGreensboro"
"6790",7,"2017-11-12",1.08,2626121,1225567,413517,72562,914474,851550,23684,39240,"conventional",2017,"LosAngeles"
"6063",22,"2017-07-30",1.62,735265.55,76110.93,447892.34,134637.19,76625.09,66465.51,7716.18,2443.4,"conventional",2017,"Chicago"
"5129",32,"2016-05-15",0.89,422276.07,153126.16,137072.54,6161.52,125915.85,69081.36,56332.31,502.18,"conventional",2016,"SouthCarolina"
"8264",50,"2017-01-15",1.4,68598.22,1109.08,37401.39,21,30066.75,29465.36,601.39,0,"conventional",2017,"Syracuse"
"11531",12,"2015-10-04",1.84,31299.72,9535.47,8541.06,722.63,12500.56,10505.17,1995.39,0,"organic",2015,"Southeast"
"14503",21,"2016-07-31",1.41,1491.19,7.47,99.66,0,1384.06,1283.71,100.35,0,"organic",2016,"Syracuse"
"11739",12,"2015-10-04",1.47,1402.83,15.38,0,0,1387.45,1387.45,0,0,"organic",2015,"Tampa"
"3396",15,"2016-09-11",0.79,1308970.15,714506.15,230292.68,2193.26,361978.06,350013.34,9088.35,2876.37,"conventional",2016,"DallasFtWorth"
"9140",13,"2015-09-27",1.98,814.13,13.79,140.23,0,660.11,660.11,0,0,"organic",2015,"Albany"
"16839",30,"2017-06-04",1.51,10058.68,317.8,2674.54,0,7066.34,1765.07,5301.27,0,"organic",2017,"Roanoke"
"10734",47,"2015-02-01",1.89,6551.44,4.49,568.47,0,5978.48,5978.48,0,0,"organic",2015,"NorthernNewEngland"
"8813",10,"2018-01-14",1.15,290571.66,170097.6,22912.24,2542,95019.82,76659.09,17342.95,1017.78,"conventional",2018,"NewOrleansMobile"
"12824",6,"2016-11-13",2.68,5260.62,15.23,3074.13,20.77,2150.49,2142.8,7.69,0,"organic",2016,"HartfordSpringfield"
"7410",44,"2017-02-26",0.65,1146225.87,558763.67,289095.7,14923.76,283442.74,113594.12,169659.73,188.89,"conventional",2017,"PhoenixTucson"
"18231",5,"2018-02-18",1.64,224798.6,30149,38800.64,123.13,155725.83,120428.13,35257.73,39.97,"organic",2018,"West"
"17445",0,"2017-12-31",1.52,1243940.09,120545.76,248123.56,1279.48,873874.64,723304.51,150460.36,109.77,"organic",2017,"TotalUS"
"10899",4,"2015-11-29",1.4,1161.01,345.27,136.42,0,679.32,522.12,157.2,0,"organic",2015,"Pittsburgh"
"443",26,"2015-06-28",1.21,786250.22,27391.54,524476.99,104595.1,129786.59,126835.7,1896.33,1054.56,"conventional",2015,"Chicago"
"10102",39,"2015-03-29",1.24,9207.99,7514.43,836.89,0,856.67,856.67,0,0,"organic",2015,"Houston"
"303",42,"2015-03-08",1.35,125724.96,1072.46,61973.56,102.31,62576.63,62216.63,360,0,"conventional",2015,"BuffaloRochester"
"2883",22,"2016-07-24",1,495686.56,215522.82,92726.36,110.76,187326.62,120773.07,66553.55,0,"conventional",2016,"Atlanta"
"5868",39,"2017-04-02",1.56,571902.2,7962.51,427483.9,3484.11,132971.68,115541.17,17430.51,0,"conventional",2017,"Boston"
"12419",17,"2016-08-28",0.77,34718.84,637.29,7566.11,0,26515.44,569.01,25946.43,0,"organic",2016,"CincinnatiDayton"
"16858",49,"2017-01-22",1.16,7525.89,234.38,2584.95,0,4706.56,2177.11,2529.45,0,"organic",2017,"Roanoke"
"18093",11,"2018-01-07",2.18,6511.97,2187.59,2577.71,0,1746.67,1746.67,0,0,"organic",2018,"Sacramento"
"10666",31,"2015-05-24",1.97,63674.1,5569.19,18983.33,513.94,38607.64,38338.21,269.43,0,"organic",2015,"Northeast"
"192",35,"2015-04-26",0.96,88111.17,69544.59,7985.48,3401.65,7179.45,7174.6,0,4.85,"conventional",2015,"Boise"
"1756",39,"2015-03-29",0.57,1231267.27,998057.91,157108.31,8638.85,67462.2,43759.93,23702.27,0,"conventional",2015,"PhoenixTucson"
"8278",11,"2017-10-15",1.71,328041.36,201650.5,30918.98,66.61,95405.27,57769.09,37636.18,0,"conventional",2017,"Tampa"
"3900",51,"2016-01-03",1.09,148599.47,103296.4,8714.57,487.53,36100.97,20713.33,15387.64,0,"conventional",2016,"Jacksonville"
"15202",36,"2017-04-23",1.67,50574.88,144.02,46354.05,0,4076.81,4072.37,4.44,0,"organic",2017,"Chicago"
"1011",22,"2015-07-26",1.22,144476.44,3840.1,84797.31,7897.34,47941.69,27526.1,19119.03,1296.56,"conventional",2015,"Indianapolis"
"3151",30,"2016-05-29",0.98,6700986.44,2522305.33,2097509.45,341992.36,1739179.3,1546212.08,160781.09,32186.13,"conventional",2016,"California"
"3722",29,"2016-06-05",1.46,303118.06,4757.39,219463.03,245.51,78652.13,75889.33,577.8,2185,"conventional",2016,"HartfordSpringfield"
"7137",36,"2017-04-23",1.68,1247609.13,45532.93,838408.44,2853.1,360814.66,312758.39,41885.07,6171.2,"conventional",2017,"NewYork"
"15960",52,"2017-01-01",1.07,99950.32,15830.84,28951.76,1.56,55166.16,43159.57,12006.59,0,"organic",2017,"LosAngeles"
"115",10,"2015-10-18",0.99,1005603.78,59121.55,745385.26,49171.33,151925.64,146421.02,5504.62,0,"conventional",2015,"BaltimoreWashington"
"2125",44,"2015-02-22",1.14,405013.16,137425.32,216791.05,11561.59,39235.2,39235.2,0,0,"conventional",2015,"Sacramento"
"3865",16,"2016-09-04",0.94,239246.03,128269.25,34369.64,158.3,76448.84,29049.1,47399.74,0,"conventional",2016,"Jacksonville"
